"age";"job";"marital";"education";"default";"balance";"housing";"loan";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
"785";27;"bcol";"sing";"sec";"no";5;"yes";"no";19;"may";205;3;-1;0;"unk";"no"
"786";23;"stu";"marr";"ter";"yes";-23;"yes";"no";18;"may";259;2;-1;0;"unk";"no"
"788";50;"bcol";"marr";"prim";"no";3924;"yes";"no";20;"apr";122;2;-1;0;"unk";"no"
"789";43;"tech";"marr";"sec";"no";764;"yes";"no";14;"jul";557;5;-1;0;"unk";"no"
"790";37;"bcol";"div";"prim";"no";511;"yes";"no";11;"may";42;1;-1;0;"unk";"no"
"791";40;"mana";"sing";"ter";"no";4348;"yes";"no";28;"aug";373;8;-1;0;"unk";"no"
"792";41;"mana";"marr";"ter";"no";316;"yes";"no";14;"jul";80;3;-1;0;"unk";"no"
"793";26;"stu";"sing";"sec";"no";279;"no";"no";7;"may";239;3;-1;0;"unk";"no"
"794";49;"mana";"div";"ter";"no";145;"no";"no";8;"jun";29;1;-1;0;"unk";"no"
"795";29;"bcol";"sing";"sec";"no";98;"yes";"no";20;"jun";1663;1;-1;0;"unk";"yes"
"796";30;"mana";"sing";"ter";"no";162;"yes";"no";20;"may";186;4;-1;0;"unk";"no"
"797";38;"serv";"div";"sec";"no";792;"no";"no";6;"jun";430;1;-1;0;"unk";"no"
"798";58;"mana";"marr";"sec";"no";111;"no";"no";24;"mar";58;2;-1;0;"unk";"no"
"799";31;"stu";"sing";"unk";"no";1281;"no";"no";25;"aug";279;1;117;1;"fail";"no"
"800";36;"serv";"div";"unk";"no";112;"yes";"no";28;"jul";332;2;-1;0;"unk";"no"
"801";50;"mana";"marr";"ter";"no";2881;"no";"no";5;"aug";510;2;2;5;"oth";"no"
"802";30;"bcol";"sing";"sec";"no";445;"yes";"no";16;"apr";218;1;330;2;"fail";"no"
"803";40;"mana";"marr";"sec";"no";643;"yes";"no";17;"apr";74;2;256;1;"fail";"no"
"804";57;"hous";"sing";"sec";"no";254;"no";"no";8;"oct";676;1;-1;0;"unk";"no"
"805";40;"mana";"marr";"ter";"no";-1212;"yes";"no";15;"may";1259;2;333;18;"fail";"no"
"806";41;"tech";"marr";"sec";"no";2125;"yes";"yes";21;"nov";285;3;116;4;"fail";"no"
"807";31;"tech";"div";"unk";"no";629;"yes";"no";8;"may";298;1;-1;0;"unk";"no"
"808";48;"bcol";"marr";"sec";"no";-22;"yes";"yes";30;"jul";225;4;-1;0;"unk";"no"
"809";32;"tech";"sing";"sec";"no";271;"yes";"no";13;"may";80;2;268;2;"oth";"no"
"810";29;"mana";"marr";"ter";"no";73;"yes";"no";14;"apr";342;1;-1;0;"unk";"yes"
"811";46;"bcol";"marr";"sec";"no";-216;"yes";"no";28;"jul";404;3;-1;0;"unk";"no"
"812";45;"serv";"div";"sec";"no";88;"no";"yes";7;"jul";332;1;-1;0;"unk";"no"
"813";51;"adm";"sing";"ter";"no";16;"yes";"no";30;"jan";158;1;-1;0;"unk";"no"
"814";31;"mana";"marr";"sec";"no";466;"yes";"no";14;"may";164;1;-1;0;"unk";"no"
"815";47;"tech";"marr";"sec";"no";-75;"yes";"no";4;"feb";57;1;247;1;"oth";"no"
"816";32;"bcol";"marr";"sec";"no";456;"no";"no";12;"may";121;1;-1;0;"unk";"no"
"817";41;"tech";"marr";"sec";"no";77;"yes";"no";7;"may";56;1;-1;0;"unk";"no"
"818";37;"serv";"sing";"sec";"no";-244;"no";"no";3;"jul";178;1;-1;0;"unk";"no"
"819";27;"bcol";"sing";"prim";"no";129;"no";"no";29;"jan";283;1;-1;0;"unk";"no"
"820";27;"serv";"marr";"sec";"no";58;"yes";"no";7;"may";113;1;337;2;"oth";"no"
"821";50;"mana";"marr";"sec";"yes";421;"no";"no";20;"nov";22;5;-1;0;"unk";"no"
"822";31;"mana";"sing";"ter";"no";112;"yes";"no";2;"feb";159;2;271;1;"fail";"no"
"823";40;"semp";"marr";"ter";"no";13669;"no";"no";15;"oct";138;1;136;8;"oth";"no"
"824";43;"mana";"marr";"ter";"no";1429;"yes";"no";19;"nov";1015;1;198;2;"oth";"yes"
"825";39;"tech";"marr";"ter";"no";794;"no";"no";2;"feb";182;1;-1;0;"unk";"no"
"826";31;"ent";"sing";"ter";"no";1957;"no";"no";4;"feb";112;3;-1;0;"unk";"no"
"827";48;"tech";"marr";"sec";"no";454;"yes";"no";10;"jul";114;1;-1;0;"unk";"no"
"828";32;"bcol";"sing";"prim";"no";882;"no";"yes";29;"jul";80;8;-1;0;"unk";"no"
"829";47;"unem";"marr";"prim";"no";168;"yes";"no";30;"jan";66;1;241;1;"oth";"no"
"830";39;"mana";"sing";"ter";"no";714;"yes";"no";26;"aug";135;22;-1;0;"unk";"no"
"832";47;"bcol";"marr";"sec";"no";1996;"no";"no";5;"jun";761;2;-1;0;"unk";"yes"
"833";59;"ret";"marr";"sec";"no";163;"no";"no";24;"jul";464;1;-1;0;"unk";"no"
"834";38;"adm";"marr";"sec";"no";319;"yes";"no";20;"jun";20;2;-1;0;"unk";"no"
"835";50;"unem";"marr";"sec";"no";1772;"no";"no";29;"jul";206;4;-1;0;"unk";"no"
"836";27;"serv";"sing";"sec";"no";-151;"no";"no";8;"jul";283;2;-1;0;"unk";"no"
"837";55;"hous";"marr";"prim";"no";16;"no";"no";20;"jun";64;1;-1;0;"unk";"no"
"838";39;"serv";"sing";"sec";"no";766;"yes";"no";15;"may";667;3;357;3;"oth";"yes"
"839";31;"tech";"sing";"ter";"no";454;"no";"no";4;"feb";73;3;-1;0;"unk";"no"
"840";37;"ent";"marr";"ter";"no";4798;"yes";"no";20;"may";156;2;-1;0;"unk";"no"
"841";28;"tech";"sing";"sec";"yes";-298;"yes";"no";3;"jun";559;7;-1;0;"unk";"no"
"842";42;"tech";"marr";"sec";"no";439;"no";"no";20;"aug";143;2;-1;0;"unk";"no"
"843";40;"serv";"div";"sec";"no";1927;"yes";"no";15;"may";62;1;-1;0;"unk";"no"
"844";59;"mana";"sing";"sec";"no";671;"yes";"yes";29;"jan";219;2;259;5;"fail";"no"
"845";40;"serv";"sing";"sec";"no";65;"yes";"no";15;"may";15;3;-1;0;"unk";"no"
"846";43;"tech";"marr";"sec";"no";-932;"yes";"no";16;"apr";567;1;-1;0;"unk";"no"
"847";38;"tech";"sing";"sec";"no";4366;"yes";"no";29;"jul";188;2;-1;0;"unk";"no"
"849";41;"bcol";"marr";"sec";"no";49;"yes";"no";31;"jul";121;2;-1;0;"unk";"no"
"850";55;"hous";"div";"prim";"no";976;"no";"no";28;"jun";345;1;94;3;"oth";"yes"
"851";33;"mana";"marr";"ter";"no";148;"no";"no";20;"may";717;1;-1;0;"unk";"no"
"852";46;"bcol";"marr";"sec";"no";5;"no";"no";18;"aug";71;3;-1;0;"unk";"no"
"853";36;"mana";"marr";"sec";"no";-148;"no";"no";18;"nov";144;2;-1;0;"unk";"no"
"854";48;"tech";"div";"ter";"no";113;"no";"yes";22;"jul";38;1;-1;0;"unk";"no"
"855";42;"mana";"marr";"sec";"no";-15;"yes";"no";28;"aug";60;2;-1;0;"unk";"no"
"856";46;"mana";"div";"ter";"no";624;"no";"no";17;"sep";336;2;183;2;"suc";"yes"
"857";49;"tech";"marr";"sec";"yes";-168;"yes";"yes";27;"jun";92;4;-1;0;"unk";"no"
"858";36;"bcol";"marr";"sec";"no";-461;"no";"no";11;"may";254;2;353;1;"fail";"no"
"859";39;"tech";"sing";"ter";"no";144;"yes";"yes";14;"oct";104;1;85;19;"fail";"no"
"860";51;"ent";"div";"ter";"no";4;"yes";"yes";20;"apr";74;5;-1;0;"unk";"no"
"861";58;"bcol";"marr";"prim";"no";39;"no";"no";19;"aug";156;2;-1;0;"unk";"no"
"862";48;"mana";"marr";"ter";"no";866;"no";"no";29;"jan";146;2;-1;0;"unk";"no"
"863";41;"adm";"sing";"sec";"no";12;"yes";"no";19;"may";882;1;-1;0;"unk";"yes"
"864";49;"semp";"marr";"prim";"no";489;"yes";"no";27;"may";84;4;-1;0;"unk";"no"
"865";43;"mana";"marr";"prim";"no";8167;"yes";"no";19;"may";114;2;-1;0;"unk";"no"
"866";32;"bcol";"sing";"sec";"no";-255;"no";"yes";2;"jul";957;3;-1;0;"unk";"no"
"867";54;"ret";"marr";"sec";"no";3671;"no";"no";11;"jun";67;3;-1;0;"unk";"no"
"868";33;"bcol";"div";"prim";"no";636;"yes";"no";9;"jul";211;11;-1;0;"unk";"no"
"869";30;"tech";"marr";"sec";"no";141;"yes";"no";19;"aug";299;2;-1;0;"unk";"no"
"870";56;"tech";"marr";"sec";"no";15;"yes";"yes";11;"may";102;6;349;1;"fail";"no"
"871";57;"tech";"marr";"sec";"no";839;"no";"yes";5;"may";225;1;-1;0;"unk";"no"
"872";31;"hous";"sing";"prim";"no";26965;"no";"no";21;"apr";654;2;-1;0;"unk";"yes"
"873";33;"tech";"sing";"sec";"no";716;"yes";"no";14;"may";234;2;-1;0;"unk";"no"
"874";29;"tech";"sing";"ter";"no";2485;"no";"no";24;"jul";48;6;-1;0;"unk";"no"
"875";38;"mana";"sing";"ter";"no";153;"yes";"no";13;"may";167;1;174;7;"oth";"no"
"876";37;"adm";"marr";"sec";"no";1133;"no";"no";26;"may";500;2;-1;0;"unk";"no"
"877";33;"ent";"marr";"ter";"no";595;"no";"no";7;"aug";22;2;-1;0;"unk";"no"
"878";30;"mana";"sing";"ter";"no";19358;"no";"no";19;"nov";258;2;-1;0;"unk";"no"
"879";31;"semp";"sing";"sec";"no";23;"no";"yes";19;"nov";177;1;-1;0;"unk";"no"
"880";28;"tech";"sing";"ter";"no";183;"yes";"yes";28;"may";62;2;-1;0;"unk";"no"
"881";26;"adm";"sing";"sec";"no";255;"no";"no";30;"apr";457;1;80;1;"suc";"yes"
"882";31;"tech";"sing";"sec";"no";12;"yes";"no";17;"apr";460;2;345;2;"fail";"no"
"883";50;"hous";"div";"prim";"no";94;"yes";"no";22;"jul";184;4;-1;0;"unk";"no"
"884";45;"ent";"marr";"prim";"no";58;"yes";"no";13;"may";119;3;371;3;"fail";"no"
"885";48;"mana";"marr";"prim";"no";66;"no";"no";5;"mar";77;6;-1;0;"unk";"no"
"887";60;"tech";"marr";"prim";"no";65;"yes";"no";9;"may";1028;2;-1;0;"unk";"yes"
"888";41;"bcol";"marr";"sec";"no";338;"yes";"no";14;"may";87;1;-1;0;"unk";"no"
"889";43;"bcol";"marr";"prim";"no";757;"yes";"no";9;"may";315;4;-1;0;"unk";"no"
"890";36;"mana";"marr";"ter";"no";9269;"yes";"yes";19;"nov";107;2;-1;0;"unk";"no"
"891";40;"bcol";"marr";"prim";"no";126;"no";"yes";16;"jul";201;5;-1;0;"unk";"no"
"892";28;"mana";"sing";"ter";"no";882;"no";"yes";29;"jan";94;1;205;2;"fail";"no"
"893";27;"stu";"sing";"ter";"no";5291;"no";"no";12;"nov";192;2;92;2;"fail";"yes"
"894";49;"mana";"sing";"sec";"no";61;"yes";"no";29;"jan";185;2;246;1;"fail";"no"
"896";31;"bcol";"marr";"sec";"no";147;"yes";"no";6;"may";142;3;-1;0;"unk";"no"
"897";31;"tech";"sing";"sec";"yes";25;"no";"no";2;"feb";381;1;-1;0;"unk";"no"
"898";31;"bcol";"marr";"sec";"no";1354;"yes";"yes";17;"nov";222;2;-1;0;"unk";"no"
"899";27;"bcol";"marr";"prim";"no";793;"yes";"no";17;"apr";106;1;-1;0;"unk";"no"
"900";51;"bcol";"div";"unk";"no";1287;"yes";"no";29;"may";117;1;-1;0;"unk";"no"
"901";33;"tech";"sing";"sec";"no";5235;"no";"no";7;"aug";67;3;-1;0;"unk";"no"
"902";30;"tech";"sing";"ter";"no";3;"yes";"no";6;"may";45;2;169;2;"fail";"no"
"903";58;"tech";"sing";"sec";"no";49;"no";"yes";14;"jul";643;2;-1;0;"unk";"no"
"904";29;"adm";"marr";"ter";"no";35;"yes";"no";15;"oct";76;1;69;2;"fail";"no"
"905";45;"mana";"marr";"ter";"no";-459;"no";"no";21;"aug";508;6;-1;0;"unk";"no"
"906";28;"serv";"sing";"sec";"no";198;"no";"no";5;"jul";128;2;-1;0;"unk";"yes"
"907";31;"bcol";"marr";"prim";"no";99;"yes";"no";17;"apr";193;2;322;1;"oth";"no"
"908";40;"mana";"marr";"ter";"no";6;"no";"no";16;"jun";172;6;-1;0;"unk";"no"
"909";30;"serv";"sing";"sec";"no";3485;"no";"no";2;"feb";142;2;-1;0;"unk";"no"
"910";33;"ent";"marr";"sec";"no";-139;"yes";"yes";27;"may";492;2;-1;0;"unk";"no"
"911";40;"bcol";"marr";"sec";"no";952;"no";"yes";12;"jun";140;1;-1;0;"unk";"no"
"912";59;"ret";"marr";"prim";"no";1427;"no";"no";18;"jun";140;2;-1;0;"unk";"no"
"913";43;"tech";"sing";"ter";"no";117;"yes";"no";19;"may";257;2;-1;0;"unk";"no"
"914";41;"mana";"marr";"ter";"no";-29;"no";"no";29;"jan";41;2;266;2;"fail";"no"
"915";33;"tech";"div";"sec";"no";9;"no";"no";21;"aug";91;2;-1;0;"unk";"no"
"916";33;"mana";"marr";"sec";"no";44;"yes";"no";20;"apr";132;2;-1;0;"unk";"no"
"917";36;"bcol";"marr";"sec";"no";13;"no";"no";3;"jun";284;1;-1;0;"unk";"no"
"918";32;"semp";"sing";"sec";"no";1259;"no";"no";25;"jul";184;2;-1;0;"unk";"no"
"919";25;"adm";"marr";"sec";"no";18;"yes";"no";18;"jul";225;1;-1;0;"unk";"no"
"920";25;"bcol";"marr";"sec";"no";-76;"yes";"no";12;"may";241;3;-1;0;"unk";"no"
"921";38;"tech";"sing";"ter";"no";221;"no";"no";20;"aug";79;3;-1;0;"unk";"no"
"922";59;"mana";"marr";"ter";"no";136;"yes";"no";22;"apr";156;1;-1;0;"unk";"no"
"923";67;"bcol";"marr";"sec";"no";16353;"no";"no";27;"oct";223;2;-1;0;"unk";"no"
"924";32;"bcol";"marr";"sec";"no";-63;"yes";"no";30;"may";198;1;-1;0;"unk";"no"
"925";45;"hous";"marr";"prim";"no";7353;"no";"no";13;"aug";536;2;-1;0;"unk";"no"
"926";33;"bcol";"marr";"prim";"no";511;"yes";"no";21;"may";304;2;-1;0;"unk";"no"
"927";38;"adm";"marr";"prim";"no";3913;"yes";"no";20;"apr";196;2;315;2;"fail";"no"
"928";32;"tech";"div";"sec";"no";197;"yes";"no";12;"may";298;2;-1;0;"unk";"no"
"929";54;"ret";"div";"ter";"no";612;"yes";"yes";21;"may";86;6;-1;0;"unk";"no"
"930";51;"adm";"div";"sec";"no";34;"yes";"no";8;"may";186;1;-1;0;"unk";"no"
"931";42;"bcol";"marr";"prim";"no";-119;"yes";"no";22;"jul";167;3;-1;0;"unk";"no"
"932";41;"adm";"marr";"sec";"no";2993;"yes";"no";22;"jul";24;12;-1;0;"unk";"no"
"933";39;"mana";"div";"ter";"no";3575;"no";"yes";18;"aug";74;3;-1;0;"unk";"no"
"934";38;"bcol";"marr";"sec";"no";361;"yes";"no";11;"jun";601;1;-1;0;"unk";"no"
"935";39;"mana";"marr";"sec";"no";172;"yes";"no";27;"may";1168;2;-1;0;"unk";"no"
"936";46;"bcol";"marr";"prim";"no";294;"no";"no";20;"apr";277;2;-1;0;"unk";"no"
"937";50;"ent";"div";"ter";"no";179;"no";"yes";6;"feb";748;3;-1;0;"unk";"no"
"938";33;"bcol";"marr";"sec";"no";86;"yes";"no";19;"may";364;1;-1;0;"unk";"no"
"939";37;"tech";"marr";"sec";"no";1633;"yes";"no";19;"may";229;3;-1;0;"unk";"no"
"940";31;"mana";"marr";"ter";"no";8312;"no";"no";29;"aug";43;13;-1;0;"unk";"no"
"941";38;"bcol";"div";"unk";"no";172;"no";"no";15;"jun";177;1;-1;0;"unk";"yes"
"943";36;"mana";"marr";"ter";"no";222;"yes";"no";6;"may";317;1;169;2;"fail";"no"
"944";40;"tech";"marr";"sec";"no";19;"no";"no";20;"jun";402;22;-1;0;"unk";"no"
"945";40;"bcol";"marr";"sec";"no";1451;"no";"no";1;"jun";314;1;-1;0;"unk";"yes"
"946";41;"tech";"marr";"sec";"no";166;"no";"no";11;"feb";109;3;-1;0;"unk";"yes"
"947";52;"mana";"marr";"ter";"no";3163;"no";"no";25;"aug";56;6;-1;0;"unk";"no"
"948";40;"serv";"sing";"sec";"no";888;"yes";"no";12;"may";169;2;-1;0;"unk";"no"
"949";48;"bcol";"sing";"unk";"no";428;"yes";"no";18;"may";127;1;-1;0;"unk";"no"
"950";33;"mana";"div";"sec";"no";16;"no";"no";20;"aug";175;3;-1;0;"unk";"no"
"952";55;"mana";"marr";"ter";"no";979;"no";"yes";8;"jul";123;1;-1;0;"unk";"no"
"953";51;"adm";"marr";"sec";"no";2662;"no";"no";28;"jan";148;2;-1;0;"unk";"no"
"954";27;"mana";"sing";"ter";"no";84;"no";"no";5;"feb";231;1;-1;0;"unk";"no"
"955";58;"ret";"div";"unk";"no";592;"yes";"no";23;"jul";255;1;-1;0;"unk";"no"
"956";39;"mana";"sing";"ter";"no";816;"yes";"no";27;"aug";37;3;-1;0;"unk";"no"
"957";27;"unem";"sing";"sec";"no";3276;"no";"no";5;"aug";106;1;110;2;"oth";"no"
"958";55;"mana";"div";"unk";"no";2;"yes";"no";19;"may";95;1;-1;0;"unk";"no"
"959";32;"tech";"sing";"sec";"no";-51;"no";"no";2;"jul";134;2;-1;0;"unk";"no"
"960";37;"tech";"sing";"ter";"no";3315;"yes";"no";9;"apr";820;2;-1;0;"unk";"no"
"961";52;"tech";"marr";"sec";"no";196;"yes";"yes";24;"feb";116;1;273;3;"fail";"no"
"962";41;"bcol";"marr";"sec";"no";552;"yes";"no";12;"may";463;1;-1;0;"unk";"no"
"963";52;"adm";"marr";"sec";"no";2347;"no";"yes";12;"aug";603;3;-1;0;"unk";"no"
"964";28;"bcol";"sing";"sec";"no";3723;"yes";"no";27;"may";47;5;-1;0;"unk";"no"
"965";45;"mana";"div";"prim";"no";255;"no";"no";19;"nov";126;1;-1;0;"unk";"no"
"966";33;"mana";"sing";"ter";"no";3143;"no";"no";29;"jun";421;2;-1;0;"unk";"yes"
"968";46;"bcol";"marr";"sec";"no";6411;"yes";"yes";30;"jan";144;1;266;2;"fail";"no"
"969";33;"mana";"sing";"ter";"no";199;"no";"no";8;"aug";191;2;-1;0;"unk";"no"
"970";55;"bcol";"marr";"prim";"no";3873;"no";"no";21;"apr";222;1;-1;0;"unk";"no"
"971";58;"semp";"marr";"prim";"no";113;"yes";"no";11;"aug";206;1;461;1;"fail";"yes"
"972";44;"adm";"marr";"sec";"no";262;"yes";"no";9;"jul";74;1;-1;0;"unk";"no"
"973";25;"serv";"sing";"sec";"no";3217;"yes";"no";28;"may";24;1;-1;0;"unk";"no"
"974";37;"tech";"sing";"sec";"no";5436;"yes";"no";6;"may";7;11;351;1;"fail";"no"
"975";41;"bcol";"marr";"prim";"no";267;"yes";"no";15;"may";493;7;-1;0;"unk";"no"
"976";41;"bcol";"sing";"sec";"no";215;"no";"no";3;"mar";350;3;-1;0;"unk";"yes"
"977";36;"serv";"div";"sec";"no";1594;"no";"no";6;"jun";250;3;-1;0;"unk";"no"
"978";44;"semp";"marr";"ter";"no";134;"no";"no";28;"aug";86;4;-1;0;"unk";"no"
"979";26;"ent";"div";"ter";"no";262;"no";"no";20;"nov";371;1;-1;0;"unk";"no"
"980";56;"bcol";"div";"prim";"no";321;"no";"no";9;"jun";419;2;-1;0;"unk";"no"
"981";43;"mana";"div";"ter";"no";388;"yes";"no";8;"may";2087;2;-1;0;"unk";"yes"
"982";28;"bcol";"sing";"sec";"no";3412;"yes";"no";15;"may";22;4;-1;0;"unk";"no"
"983";54;"bcol";"marr";"sec";"no";1291;"yes";"no";5;"may";266;1;-1;0;"unk";"no"
"984";37;"tech";"div";"sec";"no";79;"no";"no";21;"jul";191;1;-1;0;"unk";"no"
"985";59;"semp";"marr";"ter";"no";213;"no";"no";19;"feb";222;4;94;2;"suc";"yes"
"986";58;"bcol";"div";"sec";"no";543;"no";"yes";17;"jul";264;3;-1;0;"unk";"no"
"987";56;"mana";"div";"ter";"no";116;"yes";"no";9;"jun";184;5;-1;0;"unk";"no"
"988";32;"bcol";"sing";"sec";"no";64;"no";"yes";28;"may";95;3;-1;0;"unk";"no"
"989";42;"mana";"sing";"ter";"no";525;"no";"no";13;"aug";127;2;-1;0;"unk";"no"
"990";52;"ret";"div";"prim";"no";353;"no";"no";31;"jul";395;4;-1;0;"unk";"no"
"991";46;"mana";"marr";"ter";"no";964;"yes";"no";8;"apr";174;1;-1;0;"unk";"no"
"992";37;"adm";"marr";"ter";"no";3913;"yes";"no";27;"apr";124;1;-1;0;"unk";"yes"
"993";39;"bcol";"marr";"prim";"no";879;"yes";"no";26;"may";102;2;-1;0;"unk";"no"
"994";31;"adm";"marr";"sec";"no";314;"yes";"no";17;"apr";279;1;-1;0;"unk";"no"
"996";38;"bcol";"marr";"sec";"no";137;"yes";"no";11;"may";472;2;-1;0;"unk";"no"
"997";58;"mana";"marr";"sec";"no";37;"no";"no";18;"aug";84;11;-1;0;"unk";"no"
"998";70;"mana";"sing";"ter";"no";673;"yes";"yes";20;"nov";271;1;184;1;"fail";"no"
"999";40;"serv";"marr";"sec";"no";-342;"yes";"no";26;"may";754;1;-1;0;"unk";"no"
"1000";20;"stu";"sing";"sec";"no";291;"no";"no";11;"may";172;5;371;5;"fail";"no"
"1001";31;"tech";"marr";"sec";"no";29;"yes";"yes";8;"apr";375;2;-1;0;"unk";"no"
"1002";31;"tech";"sing";"ter";"no";438;"yes";"no";12;"aug";130;2;-1;0;"unk";"no"
"1003";39;"adm";"sing";"sec";"no";1242;"yes";"no";12;"may";303;3;-1;0;"unk";"no"
"1004";55;"ent";"marr";"ter";"no";355;"yes";"no";16;"may";261;1;-1;0;"unk";"no"
"1005";28;"bcol";"marr";"sec";"no";24;"yes";"yes";17;"apr";229;3;-1;0;"unk";"no"
"1006";41;"mana";"marr";"ter";"no";1758;"yes";"no";1;"jun";288;1;-1;0;"unk";"no"
"1007";40;"mana";"marr";"ter";"no";5;"yes";"no";18;"nov";219;3;-1;0;"unk";"no"
"1008";45;"tech";"sing";"sec";"no";41;"yes";"no";30;"may";891;4;-1;0;"unk";"yes"
"1009";36;"mana";"marr";"ter";"no";65;"yes";"no";26;"may";204;1;-1;0;"unk";"no"
"1010";57;"mana";"marr";"ter";"no";4;"no";"no";20;"jun";19;6;-1;0;"unk";"no"
"1011";23;"stu";"sing";"sec";"no";8494;"no";"no";25;"aug";158;2;-1;0;"unk";"no"
"1012";42;"ent";"marr";"prim";"no";198;"yes";"no";8;"may";314;1;-1;0;"unk";"no"
"1013";48;"bcol";"marr";"sec";"no";841;"yes";"no";19;"may";215;1;-1;0;"unk";"no"
"1014";56;"mana";"marr";"ter";"no";8;"no";"no";25;"aug";169;4;-1;0;"unk";"no"
"1015";36;"adm";"marr";"sec";"no";47;"yes";"no";31;"jul";101;4;-1;0;"unk";"no"
"1016";43;"ret";"marr";"sec";"no";52;"yes";"no";20;"may";15;13;-1;0;"unk";"no"
"1017";36;"bcol";"marr";"sec";"no";439;"yes";"no";21;"may";260;5;-1;0;"unk";"no"
"1018";49;"bcol";"marr";"sec";"no";-454;"yes";"no";14;"may";558;1;-1;0;"unk";"yes"
"1019";55;"ret";"marr";"sec";"no";466;"no";"no";17;"jun";287;4;-1;0;"unk";"no"
"1020";54;"ret";"marr";"sec";"no";665;"yes";"no";22;"apr";371;2;-1;0;"unk";"yes"
"1021";42;"tech";"marr";"sec";"no";994;"yes";"no";11;"aug";149;1;78;5;"fail";"yes"
"1022";45;"adm";"marr";"sec";"no";5346;"yes";"yes";21;"oct";187;1;-1;0;"unk";"yes"
"1023";31;"bcol";"marr";"sec";"no";1243;"yes";"no";21;"may";32;1;-1;0;"unk";"no"
"1025";36;"bcol";"marr";"sec";"no";2357;"yes";"no";17;"jun";228;2;-1;0;"unk";"no"
"1026";56;"ret";"marr";"sec";"no";144;"no";"no";3;"jul";353;2;-1;0;"unk";"yes"
"1027";46;"adm";"marr";"sec";"no";169;"yes";"no";8;"may";45;2;-1;0;"unk";"no"
"1028";41;"hous";"sing";"sec";"no";231;"no";"no";9;"jul";76;2;-1;0;"unk";"no"
"1030";32;"tech";"marr";"sec";"no";266;"yes";"no";19;"aug";168;2;-1;0;"unk";"no"
"1031";38;"mana";"marr";"ter";"no";-7;"yes";"no";30;"jan";140;1;2;3;"oth";"no"
"1032";49;"ret";"sing";"prim";"no";25824;"no";"no";17;"jun";94;1;-1;0;"unk";"no"
"1033";46;"mana";"sing";"prim";"no";538;"no";"no";17;"jun";118;3;-1;0;"unk";"no"
"1034";29;"tech";"sing";"sec";"no";534;"yes";"no";18;"may";382;1;-1;0;"unk";"no"
"1035";36;"adm";"marr";"unk";"no";2323;"no";"no";19;"nov";111;1;-1;0;"unk";"no"
"1036";38;"adm";"marr";"sec";"no";1852;"yes";"no";15;"may";298;2;-1;0;"unk";"no"
"1037";51;"tech";"marr";"sec";"no";2647;"yes";"no";30;"may";121;1;-1;0;"unk";"no"
"1038";43;"mana";"marr";"ter";"no";2767;"yes";"no";15;"may";317;7;-1;0;"unk";"no"
"1039";41;"mana";"marr";"ter";"no";176;"yes";"yes";5;"may";42;1;-1;0;"unk";"no"
"1040";42;"mana";"sing";"sec";"no";972;"no";"no";5;"aug";81;2;-1;0;"unk";"no"
"1041";55;"bcol";"div";"sec";"no";1613;"yes";"no";3;"apr";296;1;270;3;"fail";"yes"
"1042";39;"adm";"div";"sec";"no";293;"yes";"yes";25;"jul";259;2;-1;0;"unk";"no"
"1043";30;"adm";"sing";"sec";"no";81;"yes";"no";6;"aug";121;6;112;3;"oth";"no"
"1044";41;"bcol";"marr";"sec";"no";78;"yes";"no";15;"may";432;3;-1;0;"unk";"no"
"1045";44;"unem";"marr";"ter";"no";178;"no";"no";8;"aug";126;2;-1;0;"unk";"no"
"1046";58;"mana";"marr";"ter";"no";299;"no";"no";16;"jul";120;4;-1;0;"unk";"no"
"1047";32;"ret";"marr";"prim";"no";285;"yes";"no";29;"jan";136;1;-1;0;"unk";"no"
"1048";27;"bcol";"marr";"sec";"no";872;"yes";"no";17;"apr";1130;3;-1;0;"unk";"no"
"1049";31;"serv";"marr";"sec";"no";1337;"no";"no";17;"dec";330;2;127;3;"suc";"yes"
"1050";25;"serv";"marr";"sec";"no";72;"yes";"no";23;"jul";305;2;-1;0;"unk";"no"
"1052";38;"bcol";"marr";"sec";"no";-388;"yes";"no";9;"may";412;1;-1;0;"unk";"no"
"1053";30;"adm";"marr";"sec";"no";11;"yes";"no";11;"may";157;1;-1;0;"unk";"no"
"1054";47;"bcol";"div";"sec";"yes";-535;"yes";"no";30;"jul";71;2;-1;0;"unk";"no"
"1055";41;"serv";"div";"sec";"no";787;"yes";"no";8;"may";297;2;-1;0;"unk";"no"
"1056";36;"mana";"sing";"ter";"no";3343;"no";"no";18;"nov";307;1;-1;0;"unk";"no"
"1057";63;"ent";"marr";"sec";"no";394;"no";"no";4;"aug";250;2;187;2;"suc";"yes"
"1058";23;"mana";"sing";"ter";"no";736;"yes";"no";30;"apr";119;1;-1;0;"unk";"no"
"1059";32;"mana";"marr";"ter";"no";139;"no";"no";7;"aug";116;2;-1;0;"unk";"no"
"1060";57;"ret";"marr";"prim";"no";88;"no";"no";7;"jul";274;1;-1;0;"unk";"no"
"1061";48;"mana";"marr";"ter";"no";1147;"no";"no";5;"aug";389;1;64;2;"suc";"yes"
"1062";49;"serv";"marr";"sec";"no";1122;"no";"no";4;"aug";143;1;-1;0;"unk";"no"
"1063";50;"tech";"marr";"sec";"no";-568;"yes";"yes";28;"may";860;2;-1;0;"unk";"no"
